num,value
0,"[[  30.180713  120.170831]
 [  30.180851  120.16548 ]
 [  30.184313  120.159143]
 [  30.18582   120.159063]
 [  30.186802  120.15908 ]
 [  30.187751  120.1592  ]
 [  30.19136   120.163901]
 [  30.192907  120.167569]
 [  30.19295   120.167691]
 [  30.187997  120.173054]
 [  30.18483   120.175532]
 [  30.1834    120.176271]
 [  30.182191  120.174151]]"
1,"[[  30.239857  120.178954]
 [  30.23919   120.161984]
 [  30.259041  120.148461]
 [  30.26239   120.148071]
 [  30.27783   120.14898 ]
 [  30.281291  120.149541]
 [  30.281604  120.14964 ]
 [  30.283358  120.152585]
 [  30.28455   120.16788 ]
 [  30.28382   120.171193]
 [  30.264113  120.185051]
 [  30.258916  120.18753 ]
 [  30.257981  120.18748 ]
 [  30.253845  120.187233]
 [  30.24841   120.18499 ]
 [  30.243542  120.18286 ]]"
2,"[[  30.330112  120.341359]
 [  30.328174  120.34979 ]
 [  30.326325  120.35203 ]
 [  30.32625   120.35203 ]
 [  30.30556   120.339692]
 [  30.300453  120.335774]
 [  30.295942  120.33222 ]
 [  30.295103  120.330568]
 [  30.29437   120.322265]
 [  30.29719   120.317071]
 [  30.297246  120.317001]
 [  30.29731   120.316953]
 [  30.298002  120.31653 ]
 [  30.298688  120.316134]
 [  30.299954  120.315842]
 [  30.302153  120.31555 ]
 [  30.315145  120.324378]
 [  30.329482  120.337453]]"
3,"[[  30.3393    120.115796]
 [  30.34163   120.11736 ]
 [  30.341612  120.119604]
 [  30.34032   120.120813]
 [  30.333724  120.12363 ]
 [  30.325673  120.12332 ]
 [  30.325119  120.122184]
 [  30.32559   120.119383]
 [  30.325757  120.119012]
 [  30.330702  120.114218]
 [  30.330754  120.11417 ]
 [  30.330772  120.11416 ]
 [  30.331342  120.11399 ]
 [  30.332911  120.113523]
 [  30.334848  120.113247]]"
4,"[[  30.18851   120.208253]
 [  30.185154  120.207144]
 [  30.181924  120.202981]
 [  30.178393  120.195494]
 [  30.178393  120.19535 ]
 [  30.1784    120.195282]
 [  30.179641  120.193261]
 [  30.181466  120.190799]
 [  30.188343  120.186771]
 [  30.19699   120.18938 ]
 [  30.199763  120.190392]
 [  30.194633  120.200204]
 [  30.189984  120.206992]]"
5,"[[  30.19931   120.270622]
 [  30.198293  120.267669]
 [  30.199634  120.265282]
 [  30.209072  120.266185]
 [  30.212611  120.268472]
 [  30.213461  120.269606]
 [  30.212134  120.271553]
 [  30.206978  120.274562]]"
6,"[[  30.313884  120.39325 ]
 [  30.311336  120.393022]
 [  30.306681  120.384373]
 [  30.306365  120.383453]
 [  30.30593   120.381811]
 [  30.306182  120.374614]
 [  30.310935  120.375608]
 [  30.31416   120.37872 ]
 [  30.31667   120.385443]
 [  30.316727  120.385669]
 [  30.316231  120.389122]]"
7,"[[  30.181045  120.258214]
 [  30.177626  120.252299]
 [  30.180787  120.248041]
 [  30.181506  120.247631]
 [  30.18556   120.250377]
 [  30.18708   120.252784]
 [  30.1856    120.25566 ]
 [  30.181484  120.258231]
 [  30.181404  120.25828 ]
 [  30.181328  120.25828 ]]"
8,"[[  30.191278  120.215086]
 [  30.197776  120.198851]
 [  30.206313  120.19443 ]
 [  30.20889   120.1972  ]
 [  30.209584  120.1983  ]
 [  30.215283  120.209919]
 [  30.21665   120.212972]
 [  30.216837  120.21473 ]
 [  30.21606   120.22432 ]
 [  30.215634  120.22584 ]
 [  30.214372  120.22648 ]
 [  30.20554   120.227174]
 [  30.194726  120.221133]]"
9,"[[  30.414893  120.30107 ]
 [  30.41265   120.306093]
 [  30.408657  120.30925 ]
 [  30.406672  120.310532]
 [  30.403546  120.311034]
 [  30.40026   120.309462]
 [  30.392502  120.304684]
 [  30.390451  120.302367]
 [  30.390424  120.302332]
 [  30.390433  120.301842]
 [  30.407914  120.293542]
 [  30.413173  120.296506]]"
10,"[[  30.14638   120.078643]
 [  30.149713  120.07546 ]
 [  30.151583  120.077562]
 [  30.153056  120.082803]
 [  30.15248   120.083741]
 [  30.148991  120.083964]
 [  30.146772  120.08157 ]]"
11,"[[  30.254584  120.205083]
 [  30.254172  120.200551]
 [  30.259886  120.19708 ]
 [  30.2636    120.198311]
 [  30.266313  120.200393]
 [  30.269536  120.203574]
 [  30.270456  120.20693 ]
 [  30.270465  120.208951]
 [  30.270465  120.209019]
 [  30.26739   120.212503]
 [  30.264012  120.214543]
 [  30.263346  120.214652]
 [  30.262634  120.214621]
 [  30.261137  120.213739]]"
12,"[[  30.287948  120.224541]
 [  30.285192  120.207441]
 [  30.287332  120.202905]
 [  30.29218   120.200234]
 [  30.292263  120.200234]
 [  30.295933  120.20067 ]
 [  30.297384  120.201914]
 [  30.298271  120.204011]
 [  30.296645  120.213159]
 [  30.294685  120.223355]
 [  30.294604  120.223573]
 [  30.294207  120.224377]
 [  30.292753  120.22731 ]
 [  30.2922    120.227369]
 [  30.291413  120.227242]
 [  30.289062  120.225696]]"
13,"[[  30.265824  120.142075]
 [  30.25849   120.130899]
 [  30.2625    120.126479]
 [  30.27422   120.120034]
 [  30.276254  120.118969]
 [  30.289427  120.118972]
 [  30.290668  120.123412]
 [  30.290936  120.126161]
 [  30.290936  120.12626 ]
 [  30.277243  120.138121]
 [  30.2717    120.141015]
 [  30.268477  120.142369]]"
14,"[[  30.420404  120.30619 ]
 [  30.419645  120.303742]
 [  30.421352  120.300601]
 [  30.424191  120.29877 ]
 [  30.425124  120.29874 ]
 [  30.430325  120.299574]
 [  30.433123  120.30244 ]
 [  30.432491  120.30452 ]
 [  30.429424  120.308449]
 [  30.422226  120.309099]
 [  30.42104   120.307473]]"
15,"[[  30.1775    120.273287]
 [  30.169456  120.26715 ]
 [  30.169576  120.265272]
 [  30.177551  120.257332]
 [  30.18429   120.260513]
 [  30.185367  120.268397]
 [  30.18557   120.270113]
 [  30.185311  120.27064 ]
 [  30.180957  120.272403]
 [  30.177792  120.273229]]"
16,"[[  30.302514  120.374433]
 [  30.299714  120.371   ]
 [  30.30271   120.367642]
 [  30.30711   120.368021]
 [  30.307545  120.36823 ]
 [  30.308734  120.368852]
 [  30.308734  120.36887 ]
 [  30.307874  120.369994]
 [  30.30451   120.373233]]"
17,"[[  30.305626  120.26393 ]
 [  30.307711  120.261831]
 [  30.307963  120.261954]
 [  30.314641  120.267494]
 [  30.312391  120.271211]
 [  30.310524  120.271481]
 [  30.308961  120.27168 ]
 [  30.308801  120.27167 ]
 [  30.306152  120.266284]]"
18,"[[  30.321152  120.348364]
 [  30.309628  120.358094]
 [  30.302153  120.356222]
 [  30.30025   120.35486 ]
 [  30.300004  120.354392]
 [  30.29976   120.350267]
 [  30.29976   120.350193]
 [  30.30247   120.344814]
 [  30.303942  120.343751]
 [  30.304735  120.343481]
 [  30.309682  120.343104]
 [  30.318594  120.343311]]"
19,"[[  30.275773  120.09865 ]
 [  30.27912   120.1055  ]
 [  30.27908   120.10555 ]
 [  30.270589  120.113124]
 [  30.268514  120.112052]
 [  30.26611   120.109104]
 [  30.263337  120.104339]
 [  30.264923  120.100907]
 [  30.26844   120.096414]
 [  30.27206   120.09571 ]
 [  30.272113  120.09571 ]]"
20,"[[  30.294565  120.07334 ]
 [  30.292522  120.080344]
 [  30.292476  120.080361]
 [  30.291172  120.080669]
 [  30.285053  120.076893]
 [  30.28693   120.07069 ]
 [  30.288266  120.069514]
 [  30.29437   120.070463]
 [  30.294547  120.071513]]"
21,"[[  30.31061   120.272541]
 [  30.312334  120.271907]
 [  30.31356   120.272312]
 [  30.315464  120.273693]
 [  30.316095  120.277   ]
 [  30.31601   120.27797 ]
 [  30.312413  120.281179]
 [  30.31036   120.282074]
 [  30.308484  120.28227 ]
 [  30.306033  120.27903 ]
 [  30.30841   120.275062]]"
22,"[[  30.320735  120.358023]
 [  30.31857   120.366572]
 [  30.314364  120.365734]
 [  30.31325   120.365461]
 [  30.316006  120.35801 ]
 [  30.318594  120.356973]]"
23,"[[  30.291021  120.10959 ]
 [  30.293678  120.105744]
 [  30.299491  120.099782]
 [  30.299593  120.099782]
 [  30.30025   120.099805]
 [  30.309294  120.10716 ]
 [  30.307443  120.110319]
 [  30.307011  120.110669]
 [  30.306956  120.1107  ]
 [  30.297588  120.115871]
 [  30.297375  120.11598 ]
 [  30.293751  120.11432 ]
 [  30.291127  120.111471]]"
24,"[[  30.280248  120.018333]
 [  30.285733  120.028706]
 [  30.285724  120.02884 ]
 [  30.283247  120.031942]
 [  30.28125   120.032549]
 [  30.278487  120.031143]
 [  30.27715   120.028164]
 [  30.27569   120.02193 ]
 [  30.275524  120.020434]
 [  30.276001  120.018531]
 [  30.27666   120.018282]
 [  30.278247  120.017705]
 [  30.279278  120.01792 ]]"
25,"[[  30.155827  120.269518]
 [  30.15766   120.265183]
 [  30.159843  120.264619]
 [  30.161894  120.264311]
 [  30.164264  120.26429 ]
 [  30.16506   120.26498 ]
 [  30.164804  120.27007 ]
 [  30.164634  120.270161]
 [  30.160492  120.27113 ]
 [  30.155836  120.26962 ]]"
26,"[[  30.323732  120.172274]
 [  30.328322  120.170051]
 [  30.328748  120.170401]
 [  30.332904  120.174199]
 [  30.332225  120.176281]
 [  30.325872  120.180351]
 [  30.323876  120.180382]
 [  30.323867  120.180382]
 [  30.321842  120.17888 ]
 [  30.322878  120.173542]]"
27,"[[  30.22778   120.247894]
 [  30.224248  120.251673]
 [  30.224001  120.250804]
 [  30.223019  120.24665 ]
 [  30.223235  120.246452]
 [  30.226712  120.24611 ]]"
28,"[[  30.24529   120.216314]
 [  30.248271  120.211383]
 [  30.252856  120.204303]
 [  30.255994  120.208123]
 [  30.257214  120.20969 ]
 [  30.258916  120.214408]
 [  30.258916  120.214417]
 [  30.258744  120.215872]
 [  30.258735  120.21592 ]
 [  30.257936  120.217483]
 [  30.257538  120.21777 ]
 [  30.25751   120.21778 ]
 [  30.251223  120.218522]
 [  30.246265  120.21788 ]
 [  30.246247  120.217862]]"
29,"[[  30.233293  120.436077]
 [  30.234701  120.432439]
 [  30.238026  120.435713]
 [  30.233444  120.43891 ]
 [  30.23331   120.43681 ]]"
30,"[[  30.301623  120.131713]
 [  30.29915   120.125576]
 [  30.299208  120.125511]
 [  30.301045  120.12378 ]
 [  30.30527   120.126904]
 [  30.306085  120.13058 ]
 [  30.305985  120.130811]
 [  30.305602  120.131567]
 [  30.301964  120.131713]]"
31,"[[  30.2152    120.272654]
 [  30.213771  120.270694]
 [  30.213967  120.26962 ]
 [  30.215875  120.264904]
 [  30.217483  120.26547 ]
 [  30.22008   120.268793]
 [  30.220263  120.269993]
 [  30.218574  120.271471]]"
