Code,Area,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
E09000001,City of London,x,x,x,x,x,x
E09000002,Barking and Dagenham,7.05,7.09,7.01,7.32,7.45,7.50
E09000003,Barnet,7.43,7.28,7.40,7.54,7.53,7.47
E09000004,Bexley,7.42,7.42,7.28,7.52,7.41,7.46
E09000005,Brent,7.11,7.28,7.41,7.24,7.55,7.67
E09000006,Bromley,7.50,7.60,7.53,7.71,7.54,7.60
E09000007,Camden,7.25,7.24,7.11,7.25,7.35,7.56
E09000008,Croydon,7.04,7.01,7.36,7.35,7.45,7.68
E09000009,Ealing,7.22,7.22,7.24,7.60,7.65,7.42
E09000010,Enfield,7.23,7.24,7.28,7.45,7.30,7.29
E09000011,Greenwich,7.18,7.15,7.15,7.33,7.23,7.28
E09000012,Hackney,7.00,7.07,7.05,7.43,7.31,7.26
E09000013,Hammersmith and Fulham,7.38,7.21,7.40,7.56,7.68,7.47
E09000014,Haringey,7.11,7.17,7.28,7.38,7.26,7.56
E09000015,Harrow,7.31,7.37,7.51,7.49,7.65,7.64
E09000016,Havering,7.35,7.36,7.51,7.62,7.69,7.53
E09000017,Hillingdon,7.40,7.37,7.50,7.63,7.46,7.68
E09000018,Hounslow,7.26,7.35,7.33,7.57,7.54,7.96
E09000019,Islington,7.09,7.14,7.35,7.36,7.29,7.38
E09000020,Kensington and Chelsea,7.57,7.70,7.67,7.65,7.78,7.52
E09000021,Kingston upon Thames,7.33,7.17,7.43,7.52,7.71,7.69
E09000022,Lambeth,7.13,7.08,7.01,7.41,7.41,7.35
E09000023,Lewisham,7.05,7.23,7.34,7.33,7.14,7.18
E09000024,Merton,7.14,7.18,7.43,7.64,7.56,7.62
E09000025,Newham,7.12,7.23,7.24,7.54,7.73,7.61
E09000026,Redbridge,7.33,7.30,7.47,7.55,7.87,7.57
E09000027,Richmond upon Thames,7.52,7.40,7.60,7.54,7.74,7.71
E09000028,Southwark,7.36,7.21,7.58,7.43,7.49,7.37
E09000029,Sutton,7.39,7.28,7.49,7.60,7.45,7.66
E09000030,Tower Hamlets,7.02,7.32,7.50,7.54,7.48,7.75
E09000031,Waltham Forest,7.18,7.24,7.34,7.64,7.55,7.67
E09000032,Wandsworth,7.46,7.26,7.43,7.47,7.53,7.64
E09000033,Westminster,7.33,7.00,7.53,7.45,7.60,7.68
,,,,,,,
E12000001,North East,7.44,7.39,7.47,7.57,7.62,7.61
E12000002,North West,7.37,7.41,7.42,7.56,7.55,7.59
E12000003,Yorkshire and The Humber,7.39,7.46,7.51,7.55,7.65,7.69
E12000004,East Midlands,7.47,7.50,7.55,7.64,7.74,7.73
E12000005,West Midlands,7.28,7.43,7.49,7.57,7.62,7.67
E12000006,East of England,7.46,7.49,7.55,7.66,7.67,7.74
E12000007,London,7.25,7.25,7.36,7.49,7.50,7.54
E12000008,South East,7.51,7.54,7.60,7.73,7.74,7.76
E12000009,South West,7.53,7.55,7.56,7.66,7.73,7.76
,,,,,,,
E92000001,England,7.41,7.44,7.50,7.60,7.64,7.68
W92000004,Wales,7.40,7.44,7.52,7.56,7.63,7.65
S92000003,Scotland,7.51,7.53,7.58,7.66,7.68,7.68
N92000002,Northern Ireland,7.53,7.70,7.73,7.89,7.85,7.88
,,,,,,,
K02000001,UK,7.42,7.46,7.51,7.61,7.65,7.68
