num,value
0,"[[  30.410836  120.3106  ]
 [  30.409003  120.31066 ]
 [  30.40319   120.31024 ]
 [  30.391438  120.30622 ]
 [  30.391402  120.306152]
 [  30.390451  120.302233]
 [  30.390451  120.30195 ]
 [  30.3905    120.30186 ]
 [  30.39678   120.298159]
 [  30.406836  120.294205]
 [  30.40901   120.29384 ]
 [  30.41487   120.296859]
 [  30.415354  120.298906]
 [  30.412882  120.306613]]"
1,"[[  30.174403  120.2707  ]
 [  30.16731   120.267395]
 [  30.169622  120.265163]
 [  30.1715    120.263576]
 [  30.17348   120.263852]
 [  30.176048  120.265087]
 [  30.176646  120.267573]
 [  30.176748  120.26854 ]
 [  30.17671   120.269408]]"
2,"[[  30.32578   120.330414]
 [  30.321171  120.332273]
 [  30.322203  120.325653]
 [  30.322878  120.324221]
 [  30.325075  120.324784]]"
3,"[[  30.176664  120.26082 ]
 [  30.177671  120.252344]
 [  30.180112  120.2483  ]
 [  30.182113  120.24652 ]
 [  30.182215  120.24652 ]
 [  30.185671  120.250223]
 [  30.186882  120.252902]
 [  30.185478  120.258894]
 [  30.18544   120.25902 ]
 [  30.184682  120.260402]
 [  30.18014   120.263651]
 [  30.178014  120.263552]
 [  30.177987  120.263521]
 [  30.177524  120.26282 ]]"
4,"[[  30.292476  120.32646 ]
 [  30.29408   120.31774 ]
 [  30.298346  120.314823]
 [  30.303462  120.314499]
 [  30.317609  120.326262]
 [  30.329362  120.337453]
 [  30.331104  120.343717]
 [  30.329954  120.350021]
 [  30.326361  120.352075]
 [  30.32626   120.35203 ]
 [  30.305644  120.340294]
 [  30.300453  120.33705 ]
 [  30.294223  120.330067]]"
5,"[[  30.31325   120.35787 ]
 [  30.315844  120.355295]
 [  30.318703  120.355521]
 [  30.32105   120.357992]
 [  30.318774  120.363822]
 [  30.31508   120.365843]
 [  30.313351  120.365481]
 [  30.313302  120.36543 ]
 [  30.313283  120.365362]]"
6,"[[  30.219984  120.216413]
 [  30.210632  120.226608]
 [  30.205794  120.227302]
 [  30.1975    120.225084]
 [  30.194458  120.223829]
 [  30.194347  120.223771]
 [  30.194134  120.221183]
 [  30.194152  120.215559]
 [  30.194485  120.207932]
 [  30.202948  120.194181]
 [  30.207892  120.196383]
 [  30.209081  120.197832]
 [  30.209335  120.198144]]"
7,"[[  30.288492  120.21903 ]
 [  30.285243  120.208982]
 [  30.286325  120.204105]
 [  30.287392  120.202632]
 [  30.296672  120.20172 ]
 [  30.29732   120.201993]
 [  30.298364  120.204105]
 [  30.297838  120.214408]
 [  30.296561  120.215797]
 [  30.290954  120.221641]]"
8,"[[  30.239764  120.17888 ]
 [  30.238862  120.162119]
 [  30.259294  120.15039 ]
 [  30.26268   120.15018 ]
 [  30.275764  120.153621]
 [  30.284201  120.162771]
 [  30.286051  120.166   ]
 [  30.286024  120.16659 ]
 [  30.284591  120.16777 ]
 [  30.268304  120.18055 ]
 [  30.257936  120.184634]
 [  30.246085  120.18643 ]
 [  30.240062  120.179252]]"
9,"[[  30.300161  120.356188]
 [  30.298235  120.34876 ]
 [  30.29951   120.343898]
 [  30.30096   120.343164]
 [  30.305626  120.34118 ]
 [  30.318601  120.342964]
 [  30.3215    120.34832 ]
 [  30.315844  120.352512]
 [  30.305662  120.35843 ]
 [  30.30218   120.357043]]"
10,"[[  30.287527  120.115714]
 [  30.287984  120.123814]
 [  30.28791   120.12517 ]
 [  30.277456  120.1396  ]
 [  30.26881   120.144751]
 [  30.266331  120.14344 ]
 [  30.266156  120.143251]
 [  30.26524   120.13969 ]
 [  30.264914  120.138381]
 [  30.267473  120.12865 ]
 [  30.269554  120.124629]
 [  30.276143  120.11311 ]
 [  30.279043  120.110752]
 [  30.282012  120.110624]
 [  30.284476  120.112205]
 [  30.28637   120.113881]
 [  30.287461  120.115578]]"
11,"[[  30.2899    120.107652]
 [  30.290936  120.10684 ]
 [  30.293402  120.10744 ]
 [  30.297856  120.10946 ]
 [  30.299455  120.11169 ]
 [  30.300555  120.115871]
 [  30.298743  120.118139]
 [  30.297865  120.11844 ]
 [  30.297754  120.118422]
 [  30.297004  120.118296]
 [  30.289241  120.115622]
 [  30.287013  120.112862]
 [  30.286778  120.11152 ]
 [  30.287148  120.110793]]"
12,"[[  30.199802  120.24392 ]
 [  30.202634  120.246551]
 [  30.20232   120.250501]
 [  30.19981   120.250254]
 [  30.196808  120.24933 ]
 [  30.197033  120.24718 ]]"
13,"[[  30.213744  120.269521]
 [  30.215875  120.263992]
 [  30.215954  120.26393 ]
 [  30.218583  120.26572 ]
 [  30.220547  120.26785 ]
 [  30.220571  120.269062]
 [  30.218667  120.271522]
 [  30.2159    120.272831]
 [  30.214013  120.270424]]"
14,"[[  30.309156  120.370881]
 [  30.310811  120.370753]
 [  30.310867  120.37082 ]
 [  30.314591  120.376808]
 [  30.31686   120.385696]
 [  30.317373  120.38906 ]
 [  30.313875  120.391621]
 [  30.311042  120.390304]
 [  30.3109    120.39022 ]
 [  30.306713  120.37934 ]
 [  30.306574  120.375102]
 [  30.30666   120.374416]]"
15,"[[  30.331426  120.175659]
 [  30.328165  120.18184 ]
 [  30.323303  120.183451]
 [  30.322604  120.18365 ]
 [  30.322317  120.18303 ]
 [  30.321319  120.17973 ]
 [  30.322948  120.173701]
 [  30.328664  120.170681]
 [  30.328938  120.17054 ]
 [  30.329621  120.171371]]"
16,"[[  30.177431  120.146564]
 [  30.172754  120.15005 ]
 [  30.172481  120.149852]
 [  30.171047  120.147487]
 [  30.170737  120.14361 ]
 [  30.174335  120.141268]
 [  30.17611   120.141943]
 [  30.176156  120.141974]
 [  30.176276  120.142399]]"
17,"[[  30.25211   120.189872]
 [  30.252953  120.20069 ]
 [  30.248827  120.201416]
 [  30.242828  120.197521]
 [  30.24102   120.19606 ]
 [  30.23919   120.191704]
 [  30.239848  120.190474]
 [  30.245655  120.187544]]"
18,"[[  30.194254  120.202564]
 [  30.189365  120.204954]
 [  30.187576  120.204881]
 [  30.182191  120.203151]
 [  30.181908  120.20302 ]
 [  30.18165   120.202808]
 [  30.17836   120.196581]
 [  30.177792  120.193473]
 [  30.1775    120.190669]
 [  30.177542  120.190641]
 [  30.177987  120.190412]
 [  30.188168  120.185974]
 [  30.195028  120.18795 ]
 [  30.196944  120.189431]
 [  30.199094  120.195152]
 [  30.198321  120.196406]
 [  30.195678  120.200591]]"
19,"[[  30.221614  120.231459]
 [  30.219272  120.22646 ]
 [  30.219374  120.22639 ]
 [  30.22147   120.225676]
 [  30.226024  120.225232]
 [  30.228034  120.226442]
 [  30.224184  120.230678]]"
20,"[[  30.227378  120.25052 ]
 [  30.224423  120.251663]
 [  30.224001  120.250742]
 [  30.223745  120.24961 ]
 [  30.223171  120.246604]
 [  30.223217  120.246406]
 [  30.223292  120.246397]
 [  30.226838  120.24599 ]
 [  30.227048  120.24621 ]]"
21,"[[  30.209072  120.26561 ]
 [  30.211571  120.269764]
 [  30.208391  120.27207 ]
 [  30.199486  120.268622]
 [  30.198774  120.2679  ]
 [  30.19871   120.267832]
 [  30.20001   120.26622 ]]"
22,"[[  30.328068  120.12211 ]
 [  30.327044  120.117861]
 [  30.33063   120.114249]
 [  30.33131   120.114122]
 [  30.33952   120.116103]
 [  30.34164   120.11736 ]
 [  30.341672  120.117472]
 [  30.34157   120.11952 ]
 [  30.340348  120.12091 ]
 [  30.33285   120.123443]
 [  30.330822  120.123971]
 [  30.32891   120.122808]]"
